+-----------------------------------------------+---------------------------------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+----------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| resource_name                                 | physical_resource_id                                                            | resource_type                                                                                                                                                     | resource_status | updated_time         | stack_name                                                                                                                                                               |
| StoragePort                                   | bbf32d34-16c3-4d82-a850-3e237315db9f                                            | OS::Neutron::Port                                                                                                                                                 | CREATE_COMPLETE | 2017-08-29T10:41:01Z | overcloud-StorageVirtualIP-3f6iz5j45mpc                                                                                                                                  |
| StorageMgmtPort                               | f44946d5-6f14-4541-9e17-faa809a6de7e                                            | OS::Neutron::Port                                                                                                                                                 | CREATE_COMPLETE | 2017-08-29T10:41:02Z | overcloud-StorageMgmtVirtualIP-7lme3w4mmrvr                                                                                                                              |
| VipPort                                       | 65ad71a0-921f-4a45-a49d-a69ea3f9bc38                                            | OS::Neutron::Port                                                                                                                                                 | CREATE_COMPLETE | 2017-08-29T10:41:02Z | overcloud-RedisVirtualIP-5ycng6z7l75e                                                                                                                                    |
| 10                                            | a7206e5a-5d57-4247-8da5-e05772a92752                                            | OS::TripleO::Services::FluentdClient                                                                                                                              | CREATE_COMPLETE | 2017-08-29T10:41:11Z | overcloud-BlockStorageServiceChain-uzsrdeveao5f-ServiceChain-la4bbkkplfvh                                                                                                |
| 9                                             | 4dd7df6f-7f1a-4948-9aca-27eaa3002f7a                                            | OS::TripleO::Services::SensuClient                                                                                                                                | CREATE_COMPLETE | 2017-08-29T10:41:11Z | overcloud-BlockStorageServiceChain-uzsrdeveao5f-ServiceChain-la4bbkkplfvh                                                                                                |
| 17                                            | ecbe871a-c5c8-496e-b0c1-a80f990ba32d                                            | OS::TripleO::Services::NeutronSriovAgent                                                                                                                          | CREATE_COMPLETE | 2017-08-29T10:41:13Z | overcloud-ComputeServiceChain-x5togefmxktt-ServiceChain-5vmkqbyyk7hx                                                                                                     |
| 20                                            | 51cc1917-fc6b-4914-bfc0-7ab376754239                                            | OS::TripleO::Services::FluentdClient                                                                                                                              | CREATE_COMPLETE | 2017-08-29T10:41:13Z | overcloud-ComputeServiceChain-x5togefmxktt-ServiceChain-5vmkqbyyk7hx                                                                                                     |
| 10                                            | 03821a0d-1728-4d89-99d2-bf0a7f25accd                                            | OS::TripleO::Services::FluentdClient                                                                                                                              | CREATE_COMPLETE | 2017-08-29T10:41:14Z | overcloud-CephStorageServiceChain-rxqniygqeh3f-ServiceChain-v6mjozzbrweo                                                                                                 |
| 13                                            | 5f0ff207-0fdd-464b-921f-581a26d1dbe7                                            | OS::TripleO::Services::ComputeNeutronL3Agent                                                                                                                      | CREATE_COMPLETE | 2017-08-29T10:41:14Z | overcloud-ComputeServiceChain-x5togefmxktt-ServiceChain-5vmkqbyyk7hx                                                                                                     |
| 18                                            | d0e3ed37-168a-47aa-9df3-17959aa1157f                                            | OS::TripleO::Services::OpenDaylightOvs                                                                                                                            | CREATE_COMPLETE | 2017-08-29T10:41:14Z | overcloud-ComputeServiceChain-x5togefmxktt-ServiceChain-5vmkqbyyk7hx                                                                                                     |
